session_id,time_elapsed,valve_V1,valve_V2,valve_V3,furnaceTempSp,furnaceTemp,columnPres,columnLevel,defect_pump_fail,defect_coil_overheat,defect_valve_jam,defect_power_fail,defect_air_fail,defect_steam_fail,accident_risk,status,scenario_type,dataset_version
1,1,1,0,0,150.0,149.86,0.051,0.46,0,0,0,0,0,0,9.69,running,startup,2026-08-08-v2
1,2,1,0,0,150.0,149.7,0.051,0.92,0,0,0,0,0,0,9.39,running,startup,2026-08-08-v2
1,3,1,0,0,150.0,149.85,0.051,1.44,0,0,0,0,0,0,9.04,running,startup,2026-08-08-v2
1,4,1,0,0,150.0,150.03,0.051,1.97,0,0,0,0,0,0,8.69,running,startup,2026-08-08-v2
1,5,1,0,0,150.0,149.91,0.051,2.5,0,0,0,0,0,0,8.33,running,startup,2026-08-08-v2
1,6,1,0,0,150.0,149.87,0.051,2.98,0,0,0,0,0,0,8.01,running,startup,2026-08-08-v2
1,7,1,0,0,150.0,150.06,0.051,3.44,0,0,0,0,0,0,7.71,running,startup,2026-08-08-v2
1,8,1,0,0,150.0,149.99,0.051,3.91,0,0,0,0,0,0,7.39,running,startup,2026-08-08-v2
1,9,1,0,0,150.0,150.19,0.052,4.45,0,0,0,0,0,0,7.03,running,startup,2026-08-08-v2
1,10,1,0,0,150.0,150.29,0.052,4.92,0,0,0,0,0,0,6.72,running,startup,2026-08-08-v2
1,11,1,0,0,150.0,150.31,0.053,5.38,0,0,0,0,0,0,6.41,running,startup,2026-08-08-v2
1,12,1,0,0,150.0,150.23,0.055,5.86,0,0,0,0,0,0,6.09,running,startup,2026-08-08-v2
1,13,1,0,0,150.0,150.11,0.055,6.39,0,0,0,0,0,0,5.74,running,startup,2026-08-08-v2
1,14,1,0,0,150.0,150.05,0.057,6.85,0,0,0,0,0,0,5.43,running,startup,2026-08-08-v2
1,15,1,0,0,150.0,149.93,0.058,7.35,0,0,0,0,0,0,5.1,running,startup,2026-08-08-v2
1,16,1,0,0,150.0,149.8,0.059,7.87,0,0,0,0,0,0,4.75,running,startup,2026-08-08-v2
1,17,1,0,0,150.0,149.87,0.061,8.36,0,0,0,0,0,0,4.43,running,startup,2026-08-08-v2
1,18,1,0,0,150.0,150.0,0.061,8.9,0,0,0,0,0,0,4.07,running,startup,2026-08-08-v2
1,19,1,0,0,150.0,150.04,0.062,9.39,0,0,0,0,0,0,3.74,running,startup,2026-08-08-v2
1,20,1,0,0,150.0,150.05,0.063,9.93,0,0,0,0,0,0,3.38,running,startup,2026-08-08-v2
1,21,1,0,1,220.0,164.14,0.064,10.46,0,0,0,0,0,0,3.03,running,startup,2026-08-08-v2
1,22,1,0,1,220.0,175.11,0.066,10.98,0,0,0,0,0,0,2.68,running,startup,2026-08-08-v2
1,23,1,0,1,220.0,184.09,0.068,11.44,0,0,0,0,0,0,2.37,running,startup,2026-08-08-v2
1,24,1,0,1,220.0,191.15,0.07,11.93,0,0,0,0,0,0,2.05,running,startup,2026-08-08-v2
1,25,1,0,1,220.0,197.09,0.059,12.44,0,0,0,0,0,0,1.71,running,startup,2026-08-08-v2
1,26,1,0,1,220.0,201.87,0.05,12.37,0,0,0,0,0,0,1.75,running,startup,2026-08-08-v2
1,27,1,0,1,220.0,205.33,0.05,12.29,0,0,0,0,0,0,1.81,running,startup,2026-08-08-v2
1,28,1,0,1,220.0,208.11,0.05,12.21,0,0,0,0,0,0,1.86,running,startup,2026-08-08-v2
1,29,1,0,1,220.0,210.53,0.05,12.16,0,0,0,0,0,0,1.89,running,startup,2026-08-08-v2
1,30,1,0,1,220.0,212.51,0.05,12.05,0,0,0,0,0,0,1.97,running,startup,2026-08-08-v2
1,31,1,0,1,220.0,213.99,0.05,11.92,0,0,0,0,0,0,2.05,running,startup,2026-08-08-v2
1,32,1,0,1,220.0,212.49,0.05,11.87,0,0,0,0,0,0,2.09,running,startup,2026-08-08-v2
1,33,1,0,1,220.0,210.78,0.05,11.85,0,0,0,0,0,0,2.1,running,startup,2026-08-08-v2
1,34,1,0,1,220.0,209.29,0.05,11.87,0,0,0,0,0,0,2.09,running,startup,2026-08-08-v2
1,35,1,0,1,220.0,207.79,0.05,11.86,0,0,0,0,0,0,2.09,running,startup,2026-08-08-v2
1,36,1,0,1,220.0,206.28,0.05,11.9,0,0,0,0,0,0,2.07,running,startup,2026-08-08-v2
1,37,1,0,1,220.0,204.64,0.05,11.92,0,0,0,0,0,0,2.05,running,startup,2026-08-08-v2
1,38,1,0,1,220.0,203.21,0.05,11.88,0,0,0,0,0,0,2.08,running,startup,2026-08-08-v2
1,39,1,0,1,220.0,201.61,0.05,11.91,0,0,0,0,0,0,2.06,running,startup,2026-08-08-v2
1,40,1,0,1,220.0,200.21,0.05,11.86,0,0,0,0,0,0,2.09,running,startup,2026-08-08-v2
1,41,1,0,1,220.0,198.77,0.05,11.86,0,0,0,0,0,0,2.09,running,startup,2026-08-08-v2
1,42,1,0,1,220.0,197.18,0.05,11.85,0,0,0,0,0,0,2.1,running,startup,2026-08-08-v2
1,43,1,0,1,220.0,195.89,0.05,11.87,0,0,0,0,0,0,2.09,running,startup,2026-08-08-v2
1,44,1,0,1,220.0,194.41,0.05,11.84,0,0,0,0,0,0,2.11,running,startup,2026-08-08-v2
1,45,1,0,1,220.0,192.99,0.05,11.8,0,0,0,0,0,0,2.13,running,startup,2026-08-08-v2
1,46,1,0,1,220.0,191.48,0.05,11.8,0,0,0,0,0,0,2.13,running,startup,2026-08-08-v2
1,47,1,0,1,220.0,190.31,0.05,11.79,0,0,0,0,0,0,2.14,running,startup,2026-08-08-v2
1,48,1,0,1,220.0,188.82,0.05,11.75,0,0,0,0,0,0,2.17,running,startup,2026-08-08-v2
1,49,1,0,1,220.0,187.44,0.05,11.77,0,0,0,0,0,0,2.15,running,startup,2026-08-08-v2
1,50,1,0,1,220.0,186.22,0.05,11.77,0,0,0,0,0,0,2.15,running,startup,2026-08-08-v2
1,51,1,0,1,220.0,185.01,0.05,11.78,0,0,0,0,0,0,2.15,running,startup,2026-08-08-v2
1,52,1,0,1,220.0,183.61,0.05,11.76,0,0,0,0,0,0,2.16,running,startup,2026-08-08-v2
1,53,1,0,1,220.0,182.35,0.05,11.76,0,0,0,0,0,0,2.16,running,startup,2026-08-08-v2
1,54,1,0,1,220.0,181.14,0.05,11.78,0,0,0,0,0,0,2.15,running,startup,2026-08-08-v2
1,55,1,0,1,220.0,180.08,0.05,11.76,0,0,0,0,0,0,2.16,running,startup,2026-08-08-v2
1,56,1,0,1,220.0,178.79,0.05,11.73,0,0,0,0,0,0,2.18,running,startup,2026-08-08-v2
1,57,1,0,1,220.0,177.6,0.05,11.71,0,0,0,0,0,0,2.19,running,startup,2026-08-08-v2
1,58,1,0,1,220.0,176.56,0.05,11.66,0,0,0,0,0,0,2.23,running,startup,2026-08-08-v2
1,59,1,0,1,220.0,175.26,0.05,11.65,0,0,0,0,0,0,2.23,running,startup,2026-08-08-v2
1,60,1,0,1,220.0,174.29,0.05,11.67,0,0,0,0,0,0,2.22,running,startup,2026-08-08-v2
1,61,1,0,1,280.0,180.37,0.05,11.66,0,0,0,0,0,0,2.23,running,startup,2026-08-08-v2
1,62,1,0,1,280.0,186.56,0.05,11.61,0,0,0,0,0,0,2.26,running,startup,2026-08-08-v2
1,63,1,0,1,280.0,192.44,0.05,11.62,0,0,0,0,0,0,2.25,running,startup,2026-08-08-v2
1,64,1,0,1,280.0,198.49,0.05,11.59,0,0,0,0,0,0,2.27,running,startup,2026-08-08-v2
1,65,1,0,1,280.0,204.27,0.05,11.56,0,0,0,0,0,0,2.29,running,startup,2026-08-08-v2
1,66,1,0,1,280.0,210.1,0.05,11.58,0,0,0,0,0,0,2.28,running,startup,2026-08-08-v2
1,67,1,0,1,280.0,215.75,0.05,11.53,0,0,0,0,0,0,2.31,running,startup,2026-08-08-v2
1,68,1,0,1,280.0,221.33,0.05,11.56,0,0,0,0,0,0,2.29,running,startup,2026-08-08-v2
1,69,1,0,1,280.0,226.88,0.05,11.54,0,0,0,0,0,0,2.31,running,startup,2026-08-08-v2
1,70,1,0,1,280.0,232.41,0.05,11.56,0,0,0,0,0,0,2.29,running,startup,2026-08-08-v2
1,71,1,0,1,280.0,238.04,0.05,11.54,0,0,0,0,0,0,2.31,running,startup,2026-08-08-v2
1,72,1,0,1,280.0,243.5,0.05,11.52,0,0,0,0,0,0,2.32,running,startup,2026-08-08-v2
1,73,1,0,1,280.0,248.71,0.05,11.56,0,0,0,0,0,0,2.29,running,startup,2026-08-08-v2
1,74,1,0,1,280.0,254.03,0.051,11.59,0,0,0,0,0,0,2.27,running,startup,2026-08-08-v2
1,75,1,0,1,280.0,259.17,0.054,11.58,0,0,0,0,0,0,2.28,running,startup,2026-08-08-v2
1,76,1,0,1,280.0,264.44,0.058,11.54,0,0,0,0,0,0,2.31,running,startup,2026-08-08-v2
1,77,1,0,1,280.0,269.53,0.062,11.56,0,0,0,0,0,0,2.29,running,startup,2026-08-08-v2
1,78,1,0,1,280.0,274.59,0.066,11.58,0,0,0,0,0,0,2.28,running,startup,2026-08-08-v2
1,79,1,0,1,280.0,279.78,0.071,11.56,0,0,0,0,0,0,2.29,running,startup,2026-08-08-v2
1,80,1,0,1,280.0,284.71,0.077,11.55,0,0,0,0,0,0,2.3,running,startup,2026-08-08-v2
1,81,1,0,1,280.0,289.85,0.084,11.57,0,0,0,0,0,0,2.29,running,startup,2026-08-08-v2
1,82,1,0,1,280.0,294.8,0.092,11.53,0,0,0,0,0,0,2.31,running,startup,2026-08-08-v2
