session_id,time_elapsed,valve_V1,valve_V2,valve_V3,furnaceTempSp,furnaceTemp,columnPres,columnLevel,defect_pump_fail,defect_coil_overheat,defect_valve_jam,defect_power_fail,defect_air_fail,defect_steam_fail,accident_risk,status
1,1,1,0,1,280.0,280.14,0.249,49.94,0,0,0,0,0,0,0.0,running
1,2,1,0,1,280.0,279.99,0.25,49.88,0,0,0,0,0,0,0.0,running
1,3,1,0,1,280.0,279.83,0.25,49.78,0,0,0,0,0,0,0.0,running
1,4,1,0,1,280.0,280.04,0.251,49.68,0,0,0,0,0,0,0.0,running
1,5,1,0,1,280.0,279.88,0.251,49.61,0,0,0,0,0,0,0.0,running
1,6,1,0,1,280.0,279.93,0.25,49.49,0,0,0,0,0,0,0.0,running
1,7,1,0,1,280.0,279.91,0.25,49.43,0,0,0,0,0,0,0.0,running
1,8,1,0,1,280.0,279.97,0.251,49.34,0,0,0,0,0,0,0.0,running
1,9,1,0,1,280.0,279.98,0.25,49.24,0,0,0,0,0,0,0.0,running
1,10,1,0,1,280.0,279.79,0.25,49.09,0,0,0,0,0,0,0.0,running
1,11,1,0,1,280.0,279.98,0.249,49.0,0,0,0,0,0,0,0.0,running
1,12,1,0,1,280.0,280.16,0.249,48.86,0,0,0,0,0,0,0.0,running
1,13,1,0,1,280.0,280.04,0.25,48.78,0,0,0,0,0,0,0.0,running
1,14,1,0,1,280.0,280.16,0.25,48.71,0,0,0,0,0,0,0.0,running
1,15,1,0,1,280.0,280.13,0.249,48.59,0,0,0,0,0,0,0.0,running
1,16,1,0,1,280.0,279.99,0.249,48.48,0,0,0,0,0,0,0.0,running
1,17,1,0,1,280.0,280.03,0.249,48.43,0,0,0,0,0,0,0.0,running
1,18,1,0,1,280.0,280.15,0.249,48.33,0,0,0,0,0,0,0.0,running
1,19,1,0,1,280.0,279.99,0.25,48.2,0,0,0,0,0,0,0.0,running
1,20,1,0,1,280.0,280.18,0.25,48.1,0,0,0,0,0,0,0.0,running
1,21,1,0,1,280.0,280.05,0.25,47.98,0,0,0,0,0,0,0.0,running
1,22,1,0,1,280.0,279.85,0.25,47.86,0,0,0,0,0,0,0.0,running
1,23,1,0,1,280.0,280.07,0.25,47.74,0,0,0,0,0,0,0.0,running
1,24,1,0,1,280.0,280.07,0.25,47.62,0,0,0,0,0,0,0.0,running
1,25,1,0,1,280.0,280.1,0.249,47.52,0,0,0,0,0,0,0.0,running
1,26,1,0,1,280.0,280.15,0.249,47.44,0,0,0,0,0,0,0.0,running
1,27,1,0,1,280.0,280.13,0.249,47.38,0,0,0,0,0,0,0.0,running
1,28,1,0,1,280.0,279.91,0.248,47.28,0,0,0,0,0,0,0.0,running
1,29,1,0,1,280.0,280.06,0.247,47.15,0,0,0,0,0,0,0.0,running
1,30,1,0,1,280.0,280.12,0.247,47.03,0,0,0,0,0,0,0.0,running
1,31,1,0,1,20.0,272.56,0.246,46.98,0,0,0,1,0,0,0.0,running
1,32,1,0,1,20.0,265.26,0.243,46.98,0,0,0,1,0,0,0.0,running
1,33,1,0,1,20.0,258.21,0.238,47.0,0,0,0,1,0,0,0.0,running
1,34,1,0,1,20.0,251.27,0.232,47.02,0,0,0,1,0,0,0.0,running
1,35,1,0,1,20.0,244.74,0.226,47.06,0,0,0,1,0,0,0.0,running
1,36,1,0,1,20.0,238.39,0.219,47.03,0,0,0,1,0,0,0.0,running
1,37,1,0,1,20.0,232.23,0.211,47.07,0,0,0,1,0,0,0.0,running
1,38,1,0,1,20.0,226.37,0.202,47.05,0,0,0,1,0,0,0.0,running
1,39,1,0,1,20.0,220.45,0.192,47.06,0,0,0,1,0,0,0.0,running
